case_name,axis,scenario_name,train_groups,eval_groups,group_size,max_steps,seed,group_correlation,critic_correlation,critic_minus_group_correlation,group_calibrated_mse,critic_calibrated_mse,critic_minus_group_calibrated_mse,wait_token_fraction,success_rate,zero_variance_group_fraction,critic_exact_state_rate,train_trajectories,critic_is_privileged
horizon_04_baseline,horizon,baseline,120,32,6,4,11,0.5140299088079533,0.9735708391714305,0.4595409303634772,0.04993730726162923,0.0035401137560257157,-0.046397193505603514,0.2896551724137931,0.421875,0.0,0.9982758620689656,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,29,0.4802860460192518,0.9756446480567874,0.4953586020375356,0.05323955018984606,0.0033298724384460787,-0.04990967775139998,0.3118466898954704,0.390625,0.0,0.9982578397212544,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,47,0.47716557523453484,0.9824079947955587,0.5052424195610239,0.0473345106914217,0.002137435038663714,-0.04519707565275799,0.28596187175043325,0.3958333333333333,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,83,0.5224818991710724,0.9749817723438211,0.45249987317274876,0.043902490887306314,0.0029837801242461634,-0.040918710763060154,0.33104631217838765,0.4583333333333333,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,131,0.4710857308794244,0.9708471257678211,0.49976139488839666,0.04718272907302778,0.0034841280490472437,-0.043698601023980536,0.2970639032815199,0.390625,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,173,0.5050518013338612,0.9709095341833872,0.46585773284952603,0.049424875652042045,0.0038040985151857718,-0.04562077713685627,0.2958257713248639,0.421875,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,211,0.4800108975539496,0.9862326080636717,0.5062217105097222,0.05256055851475573,0.0018675945584863498,-0.050692963956269384,0.3104693140794224,0.421875,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,257,0.503342048971125,0.9803367586540244,0.47699470968289936,0.053951804645467547,0.0028137463016279863,-0.05113805834383956,0.3053173241852487,0.4270833333333333,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,307,0.4928804110963051,0.9851698495800763,0.49228943848377116,0.04412363958580133,0.0017158493279484316,-0.0424077902578529,0.3165217391304348,0.4375,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,359,0.4563862631193803,0.9810620789405066,0.5246758158211262,0.05809618088254839,0.0027530301902549156,-0.05534315069229348,0.29525483304042177,0.421875,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,401,0.5258478032724426,0.981423515365871,0.4555757120934284,0.05104733800249868,0.002597077808915615,-0.04845026019358306,0.2982758620689655,0.4375,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,463,0.49122518031814166,0.981018140273315,0.48979295995517336,0.05084817488959748,0.0025201926690002767,-0.048327982220597206,0.3089005235602094,0.4166666666666667,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,509,0.49399802549728045,0.9825615102005628,0.48856348470328237,0.0540238952924078,0.0024706953737346033,-0.0515531999186732,0.2936802973977695,0.3854166666666667,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,571,0.46262622681319343,0.9689014589186774,0.506275232105484,0.051946932629118675,0.004046821805306693,-0.04790011082381198,0.3298791018998273,0.3958333333333333,0.0,0.9965457685664939,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,631,0.4711542205630685,0.9774857058490204,0.506331485285952,0.05605814933567796,0.00320791756977687,-0.05285023176590109,0.2647058823529412,0.4739583333333333,0.0,0.9965397923875432,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,701,0.4986832357258739,0.9732991379734113,0.47461590224753736,0.052365508087185604,0.0036723279097527106,-0.04869318017743289,0.30397236614853196,0.4479166666666667,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,761,0.4919699845791739,0.9454688067698406,0.4534988221906667,0.04696885060536475,0.00657400071611057,-0.04039484988925418,0.2991304347826087,0.4427083333333333,0.0,0.9982608695652174,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,823,0.5476397680744319,0.9741832179131665,0.4265434498387346,0.045070623841386964,0.0032811707792445265,-0.041789453062142434,0.3122866894197952,0.4635416666666667,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,887,0.5100668724292293,0.9851432747127015,0.47507640228347214,0.04923026974539655,0.001962520396290149,-0.0472677493491064,0.301056338028169,0.421875,0.0,1.0,720,False
horizon_04_baseline,horizon,baseline,120,32,6,4,947,0.5080072408111206,0.9854526441981822,0.47744540338706165,0.04976710367347278,0.0019374201960190216,-0.047829683477453755,0.30350877192982456,0.4479166666666667,0.0,1.0,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,11,0.4100655606139037,0.8978031057186924,0.4877375451047887,0.033791205655025865,0.007878607817731482,-0.025912597837294382,0.36134453781512604,0.5416666666666666,0.0,0.9947478991596639,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,29,0.36954908814561505,0.9174941637817767,0.5479450756361617,0.03570675363457432,0.006542446920823301,-0.029164306713751018,0.3818737270875764,0.53125,0.0,0.9979633401221996,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,47,0.3914259777680139,0.9002144262751597,0.5087884485071458,0.035583759453463225,0.00796798819509128,-0.027615771258371946,0.39487179487179486,0.5416666666666666,0.0,0.9958974358974358,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,83,0.36464158733177554,0.9227416604508183,0.5581000731190427,0.035920310738965094,0.006154163135135892,-0.0297661476038292,0.3688442211055276,0.4895833333333333,0.0,0.9959798994974874,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,131,0.4037393465688139,0.8899105473838341,0.48617120081502024,0.029550331675827532,0.007345590199049736,-0.022204741476777798,0.3624091381100727,0.5520833333333334,0.0,0.9916926272066459,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,173,0.39511187908715684,0.9240344902181142,0.5289226111309574,0.03755832823122699,0.006505062449417069,-0.031053265781809922,0.3728813559322034,0.5416666666666666,0.0,0.9989406779661016,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,211,0.4018911121010897,0.9192471302743831,0.5173560181732935,0.03799749434490689,0.007023430437444646,-0.03097406390746224,0.34717784877529284,0.546875,0.0,0.9936102236421726,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,257,0.40094089060921495,0.9279243284131533,0.5269834378039384,0.034621198669736626,0.0057323314445415705,-0.028888867225195056,0.37344398340248963,0.5520833333333334,0.0,0.9968879668049793,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,307,0.38576708040666036,0.9450845773228304,0.55931749691617,0.034230300305599544,0.004295564073259228,-0.029934736232340317,0.36363636363636365,0.5833333333333334,0.0,1.0,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,359,0.33942627460547947,0.9569889284411667,0.6175626538356872,0.03909971466055449,0.0037196502818631714,-0.03538006437869132,0.37591623036649213,0.5260416666666666,0.0,1.0,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,401,0.40962677343511317,0.9004109686138138,0.4907841951787006,0.034917269909818305,0.00794087798510566,-0.026976391924712646,0.33403361344537813,0.515625,0.0,0.9863445378151261,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,463,0.37422853000112616,0.9247432292009291,0.5505146991998029,0.03696244020455877,0.006225930883682464,-0.030736509320876307,0.3798767967145791,0.5885416666666666,0.0,0.997946611909651,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,509,0.3904766955988092,0.9192439516311122,0.5287672560323029,0.03438447592026896,0.006288015737075128,-0.028096460183193835,0.3689839572192513,0.5989583333333334,0.0,0.9978609625668449,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,571,0.376398876320439,0.9726080041291463,0.5962091278087073,0.03995711887598758,0.002515402196181315,-0.03744171667980627,0.3471337579617834,0.5677083333333334,0.0,0.9989384288747346,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,631,0.37876049106982884,0.9468731534082196,0.5681126623383908,0.035409874439641546,0.0042759063423613375,-0.03113396809728021,0.3410041841004184,0.5104166666666666,0.0,1.0,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,701,0.3995470662603563,0.9250488239420264,0.5255017576816701,0.03266519791570029,0.005608400445049324,-0.02705679747065097,0.4043243243243243,0.5833333333333334,0.0,0.9956756756756757,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,761,0.3797254092204523,0.9159354934613878,0.5362100842409355,0.03668498055146953,0.006904070076960095,-0.029780910474509432,0.3502202643171806,0.546875,0.0,0.9955947136563876,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,823,0.41979896983492265,0.9134808698030403,0.4936818999681177,0.03113682668662957,0.0062575635143254996,-0.02487926317230407,0.3569937369519833,0.578125,0.0,0.9895615866388309,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,887,0.4075727393795985,0.9371064756789526,0.5295337362993541,0.03235704453082093,0.0047274004215922625,-0.02762964410922867,0.3643979057591623,0.6041666666666666,0.0,0.9947643979057592,720,False
horizon_08_baseline,horizon,baseline,120,32,6,8,947,0.4048433267163146,0.9445478947331377,0.5397045680168231,0.037069754281902935,0.0047807627322509864,-0.03228899154965195,0.35838779956427014,0.5,0.0,1.0,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,11,0.31404693994751515,0.8680972000655891,0.5540502601180739,0.023791786360896034,0.006503921014348628,-0.017287865346547405,0.4153284671532847,0.609375,0.0,0.9985401459854014,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,29,0.3479403899665463,0.91906780088374,0.5711274109171937,0.027943469229745072,0.004937805701928469,-0.023005663527816602,0.4004524886877828,0.5885416666666666,0.0,0.995475113122172,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,47,0.32127564337344117,0.8702175555416348,0.5489419121681937,0.022166975258594623,0.005999673985731577,-0.016167301272863047,0.4170965364775239,0.6770833333333334,0.0,0.9970523212969786,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,83,0.34562296210247667,0.8693129362171522,0.5236899741146755,0.026516150366188262,0.007356540735295222,-0.01915960963089304,0.39552238805970147,0.5729166666666666,0.0,0.9940298507462687,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,131,0.3387534689416968,0.8783211267082268,0.53956765776653,0.025952791732284316,0.006700467247617966,-0.01925232448466635,0.3972286374133949,0.6041666666666666,0.0,0.993841416474211,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,173,0.3569788144483534,0.8363514436640591,0.4793726292157057,0.026126288347914722,0.008998028112458811,-0.01712826023545591,0.4160971905846621,0.6302083333333334,0.0,0.9939255884586181,720,False
